loteria,fecha,numero,serie
boyaca,2018-06-30,9028,287
boyaca,2018-07-07,8948,064
boyaca,2018-07-14,9840,039
boyaca,2018-07-21,6097,155
boyaca,2018-07-28,6274,208
boyaca,2018-08-04,5736,285
boyaca,2018-08-11,1623,353
boyaca,2018-08-18,3933,101
boyaca,2018-08-25,3321,364
boyaca,2018-09-01,7147,261
boyaca,2018-09-08,8604,022
boyaca,2018-09-15,5987,231
boyaca,2018-09-22,3793,315
boyaca,2018-09-29,8850,126
boyaca,2018-10-06,7285,195
boyaca,2018-10-13,6707,272
boyaca,2018-10-20,5138,228
boyaca,2018-10-27,5171,146
boyaca,2018-11-03,5623,399
boyaca,2018-11-10,9775,290
boyaca,2018-11-17,7047,026
boyaca,2018-11-24,7530,319
boyaca,2018-12-01,2177,289
boyaca,2018-12-08,4604,311
boyaca,2018-12-15,4037,169
boyaca,2018-12-29,9948,108
boyaca,2019-01-05,2159,042
boyaca,2019-01-12,8538,264
boyaca,2019-01-19,1305,075
boyaca,2019-01-26,3571,331
boyaca,2019-02-02,7257,102
boyaca,2019-02-09,5548,128
boyaca,2019-02-16,8583,247
boyaca,2019-02-23,6952,115
boyaca,2019-03-02,0252,110
boyaca,2019-03-09,1741,240
boyaca,2019-03-16,5663,101
boyaca,2019-03-23,1328,109
boyaca,2019-03-30,5610,154
boyaca,2019-04-06,7144,273
boyaca,2019-04-13,9601,149
boyaca,2019-04-20,2440,378
boyaca,2019-04-27,5808,048
boyaca,2019-05-04,9904,080
boyaca,2019-05-11,3306,210
boyaca,2019-05-18,4244,349
boyaca,2019-05-25,5300,207
boyaca,2019-06-01,0902,320
boyaca,2019-06-08,8164,238
boyaca,2019-06-15,8569,394
boyaca,2019-06-22,1995,265
boyaca,2019-06-29,0607,032
boyaca,2019-07-06,6131,368
boyaca,2019-07-13,4536,189
boyaca,2019-07-20,7799,272
boyaca,2019-07-27,6653,282
boyaca,2019-08-03,4648,100
boyaca,2019-08-10,2712,232
boyaca,2019-08-17,1361,260
boyaca,2019-08-24,3918,057
boyaca,2019-08-31,4542,344
boyaca,2019-09-07,1434,280
boyaca,2019-09-14,2219,296
boyaca,2019-09-21,7678,042
boyaca,2019-09-28,2244,279
boyaca,2019-10-05,0290,048
boyaca,2019-10-12,1932,093
boyaca,2019-10-19,6830,031
boyaca,2019-10-26,3473,192
boyaca,2019-11-02,2797,300
boyaca,2019-11-09,8812,359
boyaca,2019-11-16,0236,188
boyaca,2019-11-30,8696,234
boyaca,2019-12-07,8968,257
boyaca,2019-12-14,7130,120
boyaca,2019-12-28,3601,274
boyaca,2020-01-04,7297,286
boyaca,2020-01-11,3960,197
boyaca,2020-01-18,7071,135
boyaca,2020-01-25,8081,188
boyaca,2020-02-01,2505,343
boyaca,2020-02-08,0585,162
boyaca,2020-02-15,2303,233
boyaca,2020-02-22,6832,140
boyaca,2020-02-29,3606,343
boyaca,2020-03-07,2088,200
boyaca,2020-03-14,3497,343
boyaca,2020-03-21,0973,055
boyaca,2020-05-16,8117,056
boyaca,2020-05-23,4096,322
boyaca,2020-05-30,3810,356
boyaca,2020-06-06,0414,150
boyaca,2020-06-13,7014,070
boyaca,2020-06-20,6153,246
boyaca,2020-07-04,9268,224
boyaca,2020-07-11,9449,292
boyaca,2020-07-18,3001,148
boyaca,2020-07-25,0919,010
boyaca,2020-08-01,2983,389
boyaca,2020-08-08,4051,317
boyaca,2020-08-15,7677,360
boyaca,2020-08-22,6011,158
boyaca,2020-08-29,6830,333
boyaca,2020-09-05,9332,069
boyaca,2020-09-12,3210,244
boyaca,2020-09-19,8121,170
boyaca,2020-09-26,2636,385
boyaca,2020-10-03,3373,237
boyaca,2020-10-10,7221,266
boyaca,2020-10-17,8045,067
boyaca,2020-10-24,6376,141
boyaca,2020-10-31,0871,235
boyaca,2020-11-07,3586,314
boyaca,2020-11-14,6802,280
boyaca,2020-11-21,0946,368
boyaca,2020-11-28,2888,083
boyaca,2020-12-05,9681,343
boyaca,2020-12-12,0709,345
boyaca,2020-12-19,2915,163
boyaca,2020-12-26,0067,017
boyaca,2021-01-02,4064,117
boyaca,2021-01-09,7063,281
boyaca,2021-01-16,0659,179
boyaca,2021-01-23,4865,039
boyaca,2021-01-30,1133,263
boyaca,2021-02-06,5065,105
boyaca,2021-02-13,8662,363
boyaca,2021-02-20,8371,249
boyaca,2021-02-27,3366,123
boyaca,2021-03-06,0316,369
boyaca,2021-03-13,0874,043
boyaca,2021-03-20,6520,275
boyaca,2021-03-27,1866,007
boyaca,2021-04-03,6737,374
boyaca,2021-04-10,2564,255
boyaca,2021-04-17,8772,049
boyaca,2021-04-24,0457,336
boyaca,2021-04-30,8708,078
boyaca,2021-05-08,3372,022
boyaca,2021-05-15,1528,273
boyaca,2021-05-22,6899,131
boyaca,2021-05-29,3067,179
boyaca,2021-06-05,2605,301
boyaca,2021-06-12,5295,263
boyaca,2021-06-19,9196,222
boyaca,2021-06-26,0517,049
boyaca,2021-07-03,0223,215
boyaca,2021-07-10,2153,272
boyaca,2021-07-17,1999,094
boyaca,2021-07-24,5855,105
boyaca,2021-07-31,0379,322
boyaca,2021-08-07,3174,277
boyaca,2021-08-14,3554,230
boyaca,2021-08-21,8138,075
boyaca,2021-08-28,3894,313
boyaca,2021-09-04,8405,268
boyaca,2021-09-11,4959,086
boyaca,2021-09-18,4617,076
boyaca,2021-09-25,3331,298
boyaca,2021-10-02,6057,190
boyaca,2021-10-09,0796,067
boyaca,2021-10-16,8750,117
boyaca,2021-10-23,0268,084
boyaca,2021-10-30,7263,068
boyaca,2021-11-06,7435,007
boyaca,2021-11-13,1541,169
boyaca,2021-11-20,0234,040
boyaca,2021-11-27,6551,327
boyaca,2021-12-04,0636,382
boyaca,2021-12-11,0409,256
boyaca,2021-12-18,8867,139
boyaca,2021-12-24,2000,172
boyaca,2022-01-01,2242,051
boyaca,2022-01-08,8811,176
boyaca,2022-01-15,1522,291
boyaca,2022-01-22,4770,027
boyaca,2022-01-29,1010,134
boyaca,2022-02-05,6017,390
boyaca,2022-02-12,0303,167
boyaca,2022-02-19,7987,052
boyaca,2022-02-26,4711,249
boyaca,2022-03-05,9855,133
boyaca,2022-03-12,1606,324
boyaca,2022-03-19,7277,264
boyaca,2022-03-26,2008,229
boyaca,2022-04-02,6819,196
boyaca,2022-04-09,6944,394
boyaca,2022-04-16,1473,191
boyaca,2022-04-23,4634,325
boyaca,2022-04-30,7985,188
boyaca,2022-05-07,7776,233
boyaca,2022-05-14,5481,366
boyaca,2022-05-21,9437,057
boyaca,2022-05-28,0278,349
boyaca,2022-06-04,1336,102
boyaca,2022-06-11,2637,339
boyaca,2022-06-18,3747,009
boyaca,2022-06-25,0229,129
boyaca,2022-07-02,8693,100
boyaca,2022-07-09,9739,259
boyaca,2022-07-16,7206,263
boyaca,2022-07-23,7981,353
boyaca,2022-07-30,7252,197
boyaca,2022-08-06,6876,327
boyaca,2022-08-13,8312,110
boyaca,2022-08-20,3177,051
boyaca,2022-08-27,5526,352
boyaca,2022-09-03,7240,112
boyaca,2022-09-10,0575,276
boyaca,2022-09-17,0840,298
boyaca,2024-02-10 00:00:00,9986,394
boyaca,2024-02-03 00:00:00,3184,032
boyaca,2024-01-27 00:00:00,0020,321
boyaca,2024-01-20 00:00:00,7312,435
boyaca,2024-01-13 00:00:00,9210,413
boyaca,2024-01-06 00:00:00,9751,173
boyaca,2023-12-30 00:00:00,6509,005
boyaca,2023-12-23 00:00:00,5151,073
boyaca,2023-12-16 00:00:00,7751,114
boyaca,2023-12-09 00:00:00,2689,268
boyaca,2023-12-02 00:00:00,4035,067
boyaca,2023-11-25 00:00:00,2636,133
boyaca,2023-11-18 00:00:00,1634,434
boyaca,2023-11-11 00:00:00,4976,186
boyaca,2023-11-04 00:00:00,0221,467
boyaca,2023-10-28 00:00:00,8887,139
boyaca,2023-10-21 00:00:00,1632,003
boyaca,2023-10-14 00:00:00,9073,173
boyaca,2023-10-07 00:00:00,1115,140
boyaca,2023-09-30 00:00:00,3256,264
boyaca,2023-09-23 00:00:00,6695,144
boyaca,2023-09-16 00:00:00,4113,358
boyaca,2023-09-09 00:00:00,9470,230
boyaca,2023-09-02 00:00:00,5005,169
boyaca,2023-08-26 00:00:00,2175,140
boyaca,2023-08-19 00:00:00,4828,271
boyaca,2023-08-12 00:00:00,4974,142
boyaca,2023-08-05 00:00:00,9745,368
boyaca,2023-07-29 00:00:00,8883,464
boyaca,2023-07-22 00:00:00,2598,184
boyaca,2023-07-15 00:00:00,3130,327
boyaca,2023-07-08 00:00:00,0959,379
boyaca,2023-07-01 00:00:00,3751,046
boyaca,2023-06-24 00:00:00,6261,436
boyaca,2023-06-17 00:00:00,8500,192
boyaca,2023-06-10 00:00:00,9229,454
boyaca,2023-06-03 00:00:00,1519,460
boyaca,2023-05-27 00:00:00,4441,077
boyaca,2023-05-20 00:00:00,6187,015
boyaca,2023-05-13 00:00:00,2401,298
boyaca,2023-05-06 00:00:00,8749,058
boyaca,2023-04-29 00:00:00,9212,461
boyaca,2023-04-22 00:00:00,9177,355
boyaca,2023-04-15 00:00:00,1502,460
boyaca,2023-04-08 00:00:00,1597,045
boyaca,2023-04-01 00:00:00,0089,100
boyaca,2023-03-25 00:00:00,4686,352
boyaca,2023-03-18 00:00:00,4603,072
boyaca,2023-03-11 00:00:00,5264,118
boyaca,2023-03-04 00:00:00,9792,259
boyaca,2023-02-25 00:00:00,4282,100
boyaca,2023-02-18 00:00:00,9200,004
boyaca,2023-02-11 00:00:00,8942,094
boyaca,2023-02-04 00:00:00,7121,157
boyaca,2023-01-28 00:00:00,6822,169
boyaca,2023-01-21 00:00:00,3137,280
boyaca,2023-01-14 00:00:00,4797,116
boyaca,2023-01-07 00:00:00,8562,084
boyaca,2022-12-31 00:00:00,5908,167
boyaca,2022-12-24 00:00:00,5694,136
boyaca,2022-12-17 00:00:00,0069,121
boyaca,2022-12-10 00:00:00,4247,363
